Codigo;Municio;Metrica;Ano;Total
39001;Alfoz de Lloredo;Total;2019;2416
39002;Ampuero;Total;2019;4288
39003;Anievas;Total;2019;267
39004;Arenas de Iguña;Total;2019;1679
39005;Argoños;Total;2019;1748
39006;Arnuero;Total;2019;2103
39007;Arredondo;Total;2019;452
39008;Astillero, El;Total;2019;18111
39009;Bárcena de Cicero;Total;2019;4246
39010;Bárcena de Pie de Concha;Total;2019;678
39011;Bareyo;Total;2019;1950
39012;Cabezón de la Sal;Total;2019;8301
39013;Cabezón de Liébana;Total;2019;616
39014;Cabuérniga;Total;2019;1000
39015;Camaleño;Total;2019;936
39016;Camargo;Total;2019;30260
39027;Campoo de Enmedio;Total;2019;3714
39017;Campoo de Yuso;Total;2019;669
39018;Cartes;Total;2019;5747
39019;Castañeda;Total;2019;2914
39020;Castro-Urdiales;Total;2019;32069
39021;Cieza;Total;2019;538
39022;Cillorigo de Liébana;Total;2019;1305
39023;Colindres;Total;2019;8484
39024;Comillas;Total;2019;2141
39025;Corrales de Buelna, Los;Total;2019;10841
39026;Corvera de Toranzo;Total;2019;2039
39028;Entrambasaguas;Total;2019;5163
39029;Escalante;Total;2019;779
39030;Guriezo;Total;2019;2354
39031;Hazas de Cesto;Total;2019;1569
39032;Hermandad de Campoo de Suso;Total;2019;1603
39033;Herrerías;Total;2019;605
39034;Lamasón;Total;2019;272
39035;Laredo;Total;2019;11025
39036;Liendo;Total;2019;1204
39037;Liérganes;Total;2019;2379
39038;Limpias;Total;2019;1879
39039;Luena;Total;2019;593
39040;Marina de Cudeyo;Total;2019;5125
39041;Mazcuerras;Total;2019;2105
39042;Medio Cudeyo;Total;2019;7556
39043;Meruelo;Total;2019;2028
39044;Miengo;Total;2019;4741
39045;Miera;Total;2019;380
39046;Molledo;Total;2019;1504
39047;Noja;Total;2019;2556
39048;Penagos;Total;2019;2142
39049;Peñarrubia;Total;2019;319
39050;Pesaguero;Total;2019;292
39051;Pesquera;Total;2019;78
39052;Piélagos;Total;2019;25559
39053;Polaciones;Total;2019;232
39054;Polanco;Total;2019;5896
39055;Potes;Total;2019;1343
39056;Puente Viesgo;Total;2019;2854
39057;Ramales de la Victoria;Total;2019;2876
39058;Rasines;Total;2019;931
39059;Reinosa;Total;2019;9003
39060;Reocín;Total;2019;8384
39061;Ribamontán al Mar;Total;2019;4437
39062;Ribamontán al Monte;Total;2019;2276
39063;Rionansa;Total;2019;1047
39064;Riotuerto;Total;2019;1601
39065;Rozas de Valdearroyo, Las;Total;2019;260
39066;Ruente;Total;2019;1016
39067;Ruesga;Total;2019;839
39068;Ruiloba;Total;2019;740
39069;San Felices de Buelna;Total;2019;2361
39070;San Miguel de Aguayo;Total;2019;140
39071;San Pedro del Romeral;Total;2019;507
39072;San Roque de Riomiera;Total;2019;356
39080;San Vicente de la Barquera;Total;2019;4124
39073;Santa Cruz de Bezana;Total;2019;13095
39074;Santa María de Cayón;Total;2019;9159
39075;Santander;Total;2019;172539
39076;Santillana del Mar;Total;2019;4207
39077;Santiurde de Reinosa;Total;2019;255
39078;Santiurde de Toranzo;Total;2019;1629
39079;Santoña;Total;2019;11024
39081;Saro;Total;2019;504
39082;Selaya;Total;2019;1891
39083;Soba;Total;2019;1180
39084;Solórzano;Total;2019;1047
39085;Suances;Total;2019;8782
39086;Tojos, Los;Total;2019;387
39087;Torrelavega;Total;2019;51494
39088;Tresviso;Total;2019;62
39089;Tudanca;Total;2019;141
39090;Udías;Total;2019;934
39095;Val de San Vicente;Total;2019;2728
39091;Valdáliga;Total;2019;2182
39092;Valdeolea;Total;2019;947
39093;Valdeprado del Río;Total;2019;337
39094;Valderredible;Total;2019;989
39101;Valle de Villaverde;Total;2019;283
39096;Vega de Liébana;Total;2019;736
39097;Vega de Pas;Total;2019;763
39098;Villacarriedo;Total;2019;1612
39099;Villaescusa;Total;2019;3899
39100;Villafufre;Total;2019;1003
39102;Voto;Total;2019;2724
